ID;TITLE;AUTHOR;TYPE;LOCATION;DATE;ABSLINK;FORMLINK;AXIS;PAPERLINK
A001;Nature Based Control Structures;Luís Gustavo Soares Longhi;Oral;A definir;Local;https://goo.gl/DLsRGQ;https://goo.gl/WA837T;Controle e Instrumentação de Processos;a
A002;The influence of fouling dynamics on distillation preheat train equipment cleaning planning;Fábio dos Santos Liporace;Pôster;A definir;Local;https://goo.gl/c1NEDM;https://goo.gl/ydY8vC;Aplicações Industriais de Ferramentas de PSE;a
A003;Soybean Biorefinery: Economic Evaluation;Thaís Veiga Barreiros;Pôster;A definir;Local;https://goo.gl/bixhKZ;https://goo.gl/6rd1nH;Integração e Intensificação de Processos;a
A004;Propylene glycol from glycerol: a process evaluation and break-even price determination;Roberto Xavier Jiménez Jimbo;Pôster;A definir;Local;https://goo.gl/GgqtcL;https://goo.gl/F6bn9p;Modelagem e Simulação de Processos;a
A005;Modeling and Dynamics of Water Scrubbing for CO2 Capture to Upgrade Biogas to Biomethane;Iago Santos Mesquita;Pôster;A definir;Local;https://goo.gl/GK4Bpz;https://goo.gl/eXDcvA;Modelagem e Simulação de Processos;a
A006;Modeling and Energy Integration Stydy of Lipids Microencapsulation Process Using Spray Dryer;Kamila de Sá Oliveira;Oral;A definir;Local;https://goo.gl/FU3oYP;https://goo.gl/56xfe8;Integração e Intensificação de Processos;a
A007;Creation of a Representative Model for the Formulation of Specific Lubricating Oils;Marcelo Oliveira Queiroz de Almeida;Pôster;A definir;Local;https://goo.gl/6rMwDk;https://goo.gl/Kthc3d;Otimização de Processos;a
A008;Improving energy recovery by optimal control in heat exchangers networks under fouling;Carolina Borges de Carvalho;Oral;A definir;Local;https://goo.gl/emepGU;https://goo.gl/nuEMDa;Controle e Instrumentação de Processos;a
A009;Leak Detection and Location Using Acoustic Method and Machine Learning Algorithms;Ana Maria Frattini Fileti;Pôster;A definir;Local;https://goo.gl/ka4H87;https://goo.gl/He1acs;Detecção e Diagnóstico de Falhas;a
A010;Stiction Detection: Problems in Industrial Application;Jônathan William Vergani Dambros;Oral;A definir;Local;https://goo.gl/KWNeaP;https://goo.gl/Wnb6Na;Detecção e Diagnóstico de Falhas;a
A011;A Short Review and Challenges on Oscillation Detection in Process Industries;Jônathan William Vergani Dambros;Oral;A definir;Local;https://goo.gl/z79nx4;https://goo.gl/5bvboi;Detecção e Diagnóstico de Falhas;a
A012;Simulation and evaluation of alternative designs for ethylbenzene production;Henrique Brasil;Pôster;A definir;Local;https://goo.gl/kdeCR6;https://goo.gl/ndTnCZ;Modelagem e Simulação de Processos;a
A013;Cogeneration Source Diagram;Filipe Augusto Rodrigues do Amaral;Pôster;A definir;Local;https://goo.gl/cmhRYW;https://goo.gl/9gAU7y;Integração e Intensificação de Processos;a
A014;Comparison of two mathematical models of the process of CO2 separation from gaseous hydrocarbons by membrane permeation;Fausto Soares Moretti;Pôster;A definir;Local;https://goo.gl/s7pwvS;https://goo.gl/GTYaYK;Modelagem e Simulação de Processos;a
A015;Inferring kinetic dissolution of NaCl in aqueous glycol solution using a low-cost apparatus and population balance model ;Caio Felippe Curitiba Marcellos;Oral;A definir;Local;https://goo.gl/EDEyoL;https://goo.gl/c93dxT;Controle e Instrumentação de Processos;a
A016;Getting closer to a fully predictive equation of state for rigorous simulation of chemical process: COSMO-SAC-Phi;Rafael de Pelegrini Soares;Oral;A definir;Local;https://goo.gl/ncWD17;https://goo.gl/YkSmKi;Modelagem Molecular e Projeto de Produto;a
A017;Experimental study of the dynamic behavior of a dissolved air flotation prototype using artificial neural networks;Flávio Vasconcelos da Silva;Oral;A definir;Local;https://goo.gl/S8mZht;https://goo.gl/K92vg8;Modelagem e Simulação de Processos;a
